env,N,instance_idx,method,success_rate,arrival_rate,makespan,mean_time,n_arrived,n_total,t_elapsed,min_dist
free,20,1,orca,1.0,1.0,14.15,7.157500000000001,20,20,14.200000000000001,0.400014882094645
free,20,2,orca,1.0,1.0,16.95,9.475,20,20,17.0,0.4000050144188247
free,20,0,orca,1.0,1.0,21.400000000000002,10.245,20,20,21.450000000000003,0.40000019395633746
free,20,3,orca,1.0,1.0,21.400000000000002,8.1975,20,20,21.450000000000003,0.4000099328629065
free,20,1,clf_cbf,1.0,1.0,19.75,9.235,20,20,19.8,0.39906147774822265
free,20,4,orca,1.0,1.0,16.75,8.535,20,20,16.8,0.40002536719939596
free,20,1,mgr,1.0,1.0,18.3,9.2175,20,20,18.35,0.4079849498768392
free,20,4,mgr,1.0,1.0,21.150000000000002,11.1125,20,20,21.200000000000003,0.2996452261449359
free,20,3,mgr,1.0,1.0,22.450000000000003,11.249999999999998,20,20,22.5,0.21552011689694062
free,20,2,clf_cbf,1.0,1.0,23.6,12.870000000000001,20,20,23.650000000000002,0.3890834191389075
circ15,20,0,orca,0.0,0.95,,12.942105263157895,19,20,119.95,0.4000020177041776
free,20,2,mgr,1.0,1.0,32.25,13.4275,20,20,32.300000000000004,0.21867885018703828
circ15,20,1,orca,0.0,0.95,,11.410526315789474,19,20,119.95,0.4000000604039042
free,20,3,clf_cbf,0.0,0.85,,12.070588235294117,17,20,119.95,0.3923326979745431
circ15,20,2,orca,0.0,0.9,,12.722222222222223,18,20,119.95,0.4000066493308016
free,20,0,mgr,1.0,1.0,66.35000000000001,27.134999999999998,20,20,66.4,0.16590493857617467
circ15,20,0,mgr,1.0,1.0,40.400000000000006,18.800000000000004,20,20,40.45,0.16407729851780276
free,20,4,clf_cbf,0.0,0.75,,9.909999999999998,15,20,119.95,0.3889313367447835
circ15,20,3,orca,0.0,0.9,,13.075000000000001,18,20,119.95,0.4000018648927563
circ15,20,1,mgr,1.0,1.0,68.60000000000001,21.632500000000004,20,20,68.65,0.06182161505735486
circ15,20,4,orca,0.0,0.95,,13.134210526315792,19,20,119.95,0.40000032456452367
circ15,20,2,mgr,1.0,1.0,56.45,25.465000000000003,20,20,56.5,0.0880044337988408
free,20,0,clf_cbf,0.0,0.7,,11.000000000000002,14,20,119.95,0.39721840404690933
rect15,20,0,orca,0.0,0.65,,10.842307692307694,13,20,119.95,0.40001106277810117
circ15,20,0,clf_cbf,0.0,0.8,,16.171875,16,20,119.95,0.410808477455544
circ15,20,3,mgr,1.0,1.0,68.9,24.185,20,20,68.95,0.17923864283137353
rect15,20,1,orca,0.0,0.9,,8.786111111111111,18,20,119.95,0.40000566285232364
circ15,20,1,clf_cbf,0.0,0.75,,12.310000000000002,15,20,119.95,0.39620906574191866
circ15,20,2,clf_cbf,0.0,0.75,,15.216666666666667,15,20,119.95,0.40887750229047953
rect15,20,2,orca,0.0,0.9,,13.252777777777778,18,20,119.95,0.3999995977531308
circ15,20,4,mgr,1.0,1.0,89.35000000000001,33.157500000000006,20,20,89.4,0.04964650173290349
rect15,20,1,mgr,1.0,1.0,71.15,21.9525,20,20,71.2,0.15324860773150276
rect15,20,3,orca,0.0,0.9,,14.866666666666667,18,20,119.95,0.40000664842416417
rect15,20,0,mgr,0.0,0.9,,25.008333333333336,18,20,119.95,0.1956297081116622
rect15,20,1,clf_cbf,0.0,0.85,,16.961764705882356,17,20,119.95,0.41812021264630744
rect15,20,4,orca,0.0,0.85,,10.629411764705884,17,20,119.95,0.4000001734097247
rect15,20,0,clf_cbf,0.0,0.8,,22.290625000000002,16,20,119.95,0.43994777289571163
rect15,20,2,mgr,0.0,0.95,,34.81578947368422,19,20,119.95,0.1492351673544985
swap,20,0,orca,1.0,1.0,18.75,18.75,20,20,18.8,0.40002338700677437
swap,20,0,mgr,1.0,1.0,21.35,20.275000000000006,20,20,21.400000000000002,0.6497996383359482
swap,20,0,clf_cbf,1.0,1.0,21.35,20.275000000000006,20,20,21.400000000000002,0.6497996383359482
swap,20,1,orca,1.0,1.0,18.75,18.75,20,20,18.8,0.40002338700677437
circ15,20,4,clf_cbf,0.0,0.5,,11.39,10,20,119.95,0.4119744516595557
rect15,20,4,mgr,0.0,0.95,,25.576315789473682,19,20,119.95,0.2823846553981095
swap,20,2,orca,1.0,1.0,18.75,18.75,20,20,18.8,0.40002338700677437
